Anonymized Message,Arousal
thinking at charity cup,1
around..,1
"<PERSON> 40:31        But they that wait upon the LORD shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.",1
I am bored,1
Making love with my ego.,1
........,1
Alcohol servers license class  in seaside.  Call <PHONE>,1
i am so bored,1
got sick......resting......,1
Reliving his childhood,1
"Will i ever get to where i'm going.... if i do, will i know when i am there?  If the wind blew me in the right direction, would i even care.... i would.",1
"Through the mayer's ruined head, the boy steps through the window and cries out from the ledge to the people below. Theres a time to pray and theres a time to fight. Anything can be a weapon if your holding it right. Defend what is yours, they will not take our souls. It's time not to rise, and fight.' Save Our City - Ludo",1
I think I have to go back to work tomorrow.,1
Meh,1
Bored...cant wait for <PERSON> ta come over so that i have someone ta talk to...really need ta talk ta someone,1
i dont know what to wrtie in the box,1
my last card...,1
Shades of Grey,1
Who watched the video,1
And in the end,1
time to oil my roadie...,1
If anyones interested im selling my ps3 eye toy camara for $20 or $25 so yeah. just comment if you want to buy one cause ive got 3 and i need to sell 2.,1
Thanks again everyone,1
Mondays are murder,1
"The scripture says, No one who believes in him will be put to shame.\\""""",1
Looks as if someone shook the snowglobe.,1
ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œA child's life is like a piece of paper on which every passerby leaves a mark.ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â -Chinese proverb,1
Mr. Rager - KiD CuDi,1
watching my dog. anyone wanna do anything tonight?,1
The only courage that matters is the kind that gets you from one moment to the next. ~Mignon McLaughlin,1
Tinychat time! Click the link to come me - <URL>  (tinychat.com),1
"kids are in bed, i'm watching tv and getting ready for bed also",1
Customer: I want a hot fudge sunday,1
More pics updated,1
only a small person carries a big grudge,1
Goin fishin tomorrow.,1
Bored...,1
Manu won once again against the Arsenal......,1
"Most frequent facebook word of the day: mindmap\.\""""",1
...yii...,1
20min,1
zzzzzzzzzzzzzzzzzzzzz,1
Last exam tomorrow - Math 9,1
"<PERSON> 1:13-14           13 Let no one say when he is tempted, I am being tempted by God, for God cannot be tempted with evil, and he himself tempts no one. 14 But each person is tempted when he is lured and enticed by his own desire. #Bible <URL>",1
"here is a question I got stumped on for a little while taking a quiz. can anyone answer it? The three great unifiers of Japan were Oda Nobunaga, Toyotomi Hideyoshi, and Tokugawa Ieyasu. A popular poem exists about these unifiers. It reads:        If the bird does not sing, kill it.        If the bird does not sing, coax it.        If the bird does not sing, wait for it.        Which unifier coaxed\ the bird?\""""",1
"Does anyone know, what time the game is at ?",1
"Enter through the narrow gate. For wide is the gate and broad is the road that leads to destruction, and many enter through it. But small is the gate and narrow the road that leads to life, and only a few find it. (Matthew 7:13-14)",1
12 today,1
My profile pic rocks,1
_:],1
Your thoughts maketh your world.,1
cant wait enough to see my son home..............,1
is watching 500 Days of Summer...,1
my little sister is sitting in a ball rocking back and forth...,1
is goin house hunting today.,1
........,1
bored....,1
Football V.S. Moniteau tommorow,1
Counting days...second by second...,1
Back to class.....,1
"Dr. Phil's Personality Test -- My Result: The Vain, Self-Centered Leader. <URL>",1
Hmmmmm......,1
(12r4-5r2+8r-15)+(7r4+5r2+2r-9)=...,1
